strategy,step,price,action,reward,cumulative_reward,regime
AlwaysLong,163,147.7789,0,-0.5193,38.4966,0
AlwaysLong,164,147.0115,0,1.2714,39.7680,0
AlwaysLong,165,148.8805,0,0.7153,40.4833,0
AlwaysLong,166,149.9455,0,1.1284,41.6117,0
AlwaysLong,167,151.6375,0,2.2211,43.8328,0
AlwaysLong,168,155.0055,0,0.0546,43.8874,0
AlwaysLong,169,155.0902,0,-0.4527,43.4347,0
AlwaysLong,170,154.3881,0,-0.5878,42.8469,0
AlwaysLong,171,153.4806,0,-0.5145,42.3325,0
AlwaysLong,172,152.6910,0,0.2231,42.5556,0
AlwaysLong,173,153.0317,0,0.6432,43.1988,0
AlwaysLong,174,154.0160,0,0.5784,43.7772,0
AlwaysLong,175,154.9068,0,1.1336,44.9107,0
AlwaysLong,176,156.6627,0,0.3135,45.2242,0
AlwaysLong,177,157.1539,0,1.7690,46.9932,0
AlwaysLong,178,159.9339,0,0.0353,47.0286,0
AlwaysLong,179,159.9905,0,3.0662,50.0948,0
AlwaysLong,180,164.8961,0,0.9300,51.0248,0
AlwaysLong,181,166.4296,0,-0.5556,50.4692,0
AlwaysLong,182,165.5049,0,-0.7679,49.7012,0
AlwaysLong,183,164.2340,0,0.7855,50.4868,0
AlwaysLong,184,165.5241,0,0.0766,50.5634,0
AlwaysLong,185,165.6508,0,1.0192,51.5825,0
AlwaysLong,186,167.3391,0,0.7762,52.3587,0
AlwaysLong,187,168.6380,0,0.2274,52.5862,0
AlwaysLong,188,169.0216,0,-0.5453,52.0409,0
AlwaysLong,189,168.0999,0,-1.2075,50.8334,0
AlwaysLong,190,166.0701,0,-0.1464,50.6870,0
AlwaysLong,191,165.8269,0,1.1631,51.8501,0
AlwaysLong,192,167.7557,0,0.5154,52.3655,0
AlwaysLong,193,168.6203,0,-0.9413,51.4242,0
AlwaysLong,194,167.0331,0,0.4743,51.8985,0
AlwaysLong,195,167.8254,0,0.6877,52.5862,0
AlwaysLong,196,168.9795,0,-0.5822,52.0040,0
AlwaysLong,197,167.9957,0,0.4548,52.4588,0
AlwaysLong,198,168.7597,0,0.3589,52.8176,0
AlwaysLong,199,169.3653,0,-0.8394,51.9782,0
AlwaysLong,200,167.9436,0,0.1704,52.1486,0
AlwaysLong,201,168.2298,0,0.2582,52.4068,1
AlwaysLong,202,168.6642,0,0.4923,52.8992,1
AlwaysLong,203,169.4946,0,0.4516,53.3508,1
AlwaysLong,204,170.2601,0,-0.7154,52.6354,1
AlwaysLong,205,169.0421,0,-0.4763,52.1591,1
AlwaysLong,206,168.2369,0,0.2362,52.3953,1
AlwaysLong,207,168.6343,0,0.2233,52.6186,1
AlwaysLong,208,169.0108,0,0.2122,52.8308,1
AlwaysLong,209,169.3695,0,1.7777,54.6085,1
AlwaysLong,210,172.3803,0,0.1363,54.7448,1
AlwaysLong,211,172.6152,0,0.3910,55.1357,1
AlwaysLong,212,173.2901,0,0.2862,55.4219,1
AlwaysLong,213,173.7860,0,0.1318,55.5537,1
AlwaysLong,214,174.0150,0,-0.3194,55.2343,1
AlwaysLong,215,173.4592,0,0.1911,55.4253,1
